Brand,Product,Size / Format,Workbook Rows,Reason,Candidate Price GBP - NOT APPROVED,Candidate Title,Source Capture,Source Page
Applied Nutrition,Beef-XP Clear Beef Protein Isolate,1.8kg,8;9;10;11;12;13;14;15;16;17;18,Product wording needs source review; Price or product match needs source review,55.38,Applied Nutrition Iso XP 100% Whey Protein Isolate 1.8kg - SPECIAL OFFER FREE BOX OF - 10 BODY FUEL CREATINE STICKS AND SHAKER,screencapture-www-activesportstrade-co-uk-applied-nutrition-trade-2026-09-10-08_59_59,page-13
Applied Nutrition,ABE Pre Workout,30 servings,101;102;103;104;105;106;107;108;109;110;111;112;113;114;115,Price or product match needs source review,19.99,Applied Nutrition ABE Pre Workout Energy Gels x 20 Gels - VAT FREE,screencapture-www-activesportstrade-co-uk-applied-nutrition-trade-2026-09-10-08_59_59,page-02
Applied Nutrition,Amino Fuel EAA,30 servings,126;127;128;129;130;131;132;133,Product wording needs source review; Price or product match needs source review,12.5,Applied Nutrition Creatine HMB + 240g (30 Servings),screencapture-www-activesportstrade-co-uk-applied-nutrition-trade-2026-09-10-08_59_59,page-07
Applied Nutrition,Cream of Rice,1kg,152;153;154;155;156,Price or product match needs source review,12.6,Applied Nutrition Cream of Rice 2kg VAT FREE SPECIAL OFFER - - FREE METAL SHAKER +,screencapture-www-activesportstrade-co-uk-applied-nutrition-trade-2026-09-10-08_59_59,page-07
Applied Nutrition,Beef-XP RTD,12 x 500ml cans,194;195;196;197,Price or product match needs source review,14.95,Applied Nutrition Beef XP RTD Drink 30g of Protein Per Can 12 - - 500ml Cans SPECIAL OFFER x - - GET BUY 4 1 FREE,screencapture-www-activesportstrade-co-uk-applied-nutrition-trade-2026-09-10-08_59_59,page-03
DNA Sports,Amino 1 EAA Formula,30 servings,221;222;223;224;225,Product wording needs source review; Price or product match needs source review,4.2,CHA Sparts Cremtine More liydoeie 220u,screencapture-www-activesportstrade-co-uk-dna-sports-trade-2026-09-09-18_27_58,page-001
NXT Nutrition,Amino Fuel,300g,226;227;228;229;230;231;232;233,No reliable price extracted from available source,,,,
3D Energy,3D Energy Drinks,12 x 473ml cans,256;257;258;259;260;261;262;263;264,No reliable price extracted from available source,,,,
Alpha Designs,Alpha Bottle Shaker V2,750ml,278;279;280;281;282,Price or product match needs source review,3.99,Alpha Designs Alpha Bottle 1000mI Shaker V2,screencapture-www-activesportstrade-co-uk-alpha-designs-trade-2026-09-09-18_14_26,page-001
Alpha Designs,Alpha Bottle Shaker V2,1000ml,283;284;285;286;287,Price or product match needs source review,3.99,Alpha Designs Alpha Bottle 1000mI Shaker V2,screencapture-www-activesportstrade-co-uk-alpha-designs-trade-2026-09-09-18_14_26,page-001
Alpha Designs,Alpha Bottle XL Jug,1600ml,288;289;290;291;292,Price or product match needs source review,4.99,Alpha Designs Alpha Bottle XL Jug 1600mI,screencapture-www-activesportstrade-co-uk-alpha-designs-trade-2026-09-09-18_14_26,page-001
Alpha Designs,Alpha Bottle XXL Jug,2400ml,293;294;295;296;297,Price or product match needs source review,5.61,Alpha Designs Alpha Bottle XXL Jug 2400mI,screencapture-www-activesportstrade-co-uk-alpha-designs-trade-2026-09-09-18_14_26,page-001
Alpha Designs,Alpha Pod,3 pack,298,Price or product match needs source review,4.25,Alpha Designs Alpha Pod 3 Pack -,screencapture-www-activesportstrade-co-uk-alpha-designs-trade-2026-09-09-18_14_26,page-001
Alpha Lion,Super Human Muscle,90 caps,299,No reliable price extracted from available source,,,,
Alpha Lion,Super Human Post,373g,300;301,No reliable price extracted from available source,,,,
Alpha Lion,Super Human Pre Workout,368g,302;303;304;305;306;307,No reliable price extracted from available source,,,,
Alpha Lion,Super Human Test,90 caps,308,No reliable price extracted from available source,,,,
Animal,Cuts Powder,248g,310;311;312,Product wording needs source review; Price or product match needs source review,34.78,Animal Cuts 42 Pack,screencapture-www-activesportstrade-co-uk-animal-supplements-trade-2026-09-09-18_14_46,page-001
